ean,article
3272770015981,101357787_ST
90376825,101203089_ST
5063270127728,101837787_ST
7310731103028,101677317_ST
7340131605235,101599209_ST
5038862134293,101307185_ST
7311041081730,101261767_ST
7310070008718,101833675_ST
5411188110743,101189719_ST
7393010035715,100614220_ST
7310090776628,100658012_ST
7310240406085,101320763_ST
7310240407969,101304732_ST
7311043016624,101693179_ST
7392128810016,101447696_ST
7340083443091,101231808_ST
7310861011538,101367028_ST
7310861012504,101314780_ST
7350000550573,101291960_ST
7311043025435,101821169_ST
7311043026654,101829361_ST
7312690201333,101548102_ST
7310090272229,101274552_ST
7350099111129,101282537_ST
8717496044242,101259152_ST
4014071624238,100764503_ST
4016241051011,101719940_ST
4016241050540,101405060_ST
7310865698391,101283159_ST
7310240407921,101260585_ST
7350028540532,100238967_ST
7310520003027,101223473_ST
7313619002840,101834003_ST
7350093031164,101304560_ST
7350000552324,101424226_ST
7392672003773,101284367_ST
7311043025466,101821150_ST
5900643035023,101246140_ST
7311443210400,101197654_ST
7350000553185,101705520_ST
7311070006421,101847588_ST
7398818389190,101355954_ST
7350086430219,101697346_ST
7314710720343,101676828_ST
7340083407512,101205398_ST
7310470064284,101070555_ST
7310890201191,101114571_ST
7340083427831,101207629_ST
7310470063195,100038781_ST
7350126083344,101412935_ST
7340083407550,101202252_ST
7310860007853,100985962_ST
7310470070193,100038736_ST
7391603435294,101301811_ST
7311043008858,101550756_ST
7311041049587,100910819_ST
7311171008300,101313750_ST
3222110025286,101334091_ST
2379746500005,101511377_KG
7391693211358,101679810_ST
7316110003415,101840414_ST
7310521056718,101176187_ST
5707196286991,101802373_ST
8711200360345,101290095_ST
8721201984624,101802347_ST
8711327416239,101337941_ST
7310960041870,101335553_ST
7331061000566,101244692_ST
7314320041067,101291327_ST
7340083478369,101302331_ST
7331217601012,100611580_ST
7311043011704,101591594_ST
7314710160002,100209105_ST
2384795600002,101358844_KG
2384790400003,101134648_KG
7610563997315,101832253_ST
7610563997278,101832254_ST
8008698048719,101804723_ST
7340083473067,101289420_ST
7350039278264,101801520_ST
7316110001886,101802393_ST
7310240150834,101227997_ST
7310240050844,100897825_ST
7311312009432,101833320_ST
3090291124261,101448170_ST
7311043012961,101624000_ST
7340083473746,101294862_ST
7312631023772,101337239_ST
7310521053106,100052452_ST
7340083434969,100336129_ST
7340083475665,101294580_ST
