ean,article,name,brand,basis,price,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
7310240120035,101275849_ST,Vegobullar Frysta,Anamma,100 gram,"46,32 kr",160.0,660.0,10.0,0.7,3.7,0.7,5.2,11.0,1.0,hemkop
8445291628151,101693047_ST,Vegoburgare,Hälsans Kök,100 gram,"56,73 kr",156.0,655.0,5.6,0.7,6.8,2.8,5.8,16.9,1.3,hemkop
7310240120028,101275841_ST,Vegoburgare Frysta/4-pack,Anamma,100 gram,"46,32 kr",152.0,637.0,10.0,0.7,2.1,0.1,5.5,14.0,0.9,hemkop
7350124670287,101802456_ST,Vegoburgare Umami Frysta,Sve Färsodlare,100 gram,"46,32 kr",194.0,809.0,9.5,0.9,12.0,1.5,9.8,10.4,0.9,hemkop
8445291885356,101801400_ST,Vegofilé Bitar Frysta,Hälsans Kök,100 gram,"56,73 kr",122.0,514.0,2.7,0.4,2.3,0.2,5.2,19.6,0.99,hemkop
7350126086338,101520689_ST,Vegofärs,Anamma,100 gram,"54,84 kr",171.0,715.0,9.5,0.7,1.8,0.9,5.5,17.0,0.7,hemkop
7340083478536,101290312_ST,Vegofärs Formbar Fryst,Garant,100 gram,"66,20 kr",170.0,710.0,8.7,0.6,7.2,2.1,5.0,13.0,0.6,hemkop
7340083490712,101344201_ST,Vegofärs Fryst,Garant,100 gram,"66,20 kr",163.0,682.0,7.6,0.8,3.2,1.2,5.0,18.0,0.8,hemkop
7310240121117,101275800_ST,Vegofärs Fryst,Anamma,100 gram,"80,39 kr",171.0,715.0,9.5,0.7,1.8,0.9,5.5,17.0,0.7,hemkop
7350124670027,101425999_ST,Vegofärs Fryst,Färsodlarna,100 gram,"44,43 kr",182.0,762.0,5.9,0.6,13.1,1.1,11.6,13.4,0.65,hemkop
7340083490705,101344106_ST,Vegokebab,Garant,100 gram,"39,70 kr",220.0,921.0,8.8,0.7,7.9,1.3,,27.0,1.3,hemkop
7310240120042,101275850_ST,Vegokorv Fryst,Anamma,100 gram,"46,32 kr",182.0,760.0,12.0,0.9,5.3,0.5,5.4,11.0,1.7,hemkop
7340083485558,101329988_ST,Vegokorv Ovo-vegetarisk 4-pack,Eldorado,100 gram,"28,34 kr",196.0,822.0,17.0,1.9,4.0,0.9,,8.2,1.9,hemkop
8445291679139,101693068_ST,Vegonuggets,Hälsans Kök,100 gram,"56,73 kr",236.0,986.0,12.5,0.9,15.0,0.7,5.7,13.1,0.98,hemkop
7310240120417,101310549_ST,Vegonuggets av Ärta Fryst,Anamma,100 gram,52 kr,249.0,1040.0,16.0,1.2,12.0,0.8,3.5,13.0,1.2,hemkop
7340083481864,101314235_ST,Vegonuggets Fryst,Eldorado,100 gram,"57,55 kr",211.0,883.0,5.0,0.6,27.0,2.4,2.8,13.0,1.1,hemkop
