ean,article,name,brand,weight,price,basis,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
5060947549883,101541978_ST,"Grön Zero Monster Energidryck, Burk",Monster Energy,50 cl,"15,61 kr",100 milliliter,3.0,15.0,0.0,0.0,1.0,0.0,,0.0,0.19,willys
7311041010501,100435129_ST,Gröna Bönor Hela,Eldorado,400/220 g,"14,10 kr",100 gram,20.0,100.0,0.1,0.0,2.6,0.7,2.8,1.5,0.8,willys
7311041010518,100435085_ST,Gröna Bönor Skurna,Eldorado,400/220 g,"14,10 kr",100 gram,20.0,100.0,0.1,0.0,2.6,0.7,2.8,1.5,0.9,willys
7310130009792,101289894_ST,Gröna Linser,Gogreen,380/230 g,"14,10 kr",100 gram,97.0,407.0,0.6,0.1,14.0,0.6,4.4,7.0,0.4,willys
7340083487590,101334234_ST,Gröna Linser,Eldorado,800 g,"28,29 kr",100 gram,300.0,1300.0,1.5,0.3,43.0,1.0,18.0,21.0,0.01,willys
7340083493232,101354088_ST,Gröna Linser,Garant Eko,500 g,"28,29 kr",100 gram,313.0,1318.0,1.6,0.3,39.0,4.2,18.0,24.0,0.1,willys
7312787710199,100046095_ST,Gröna Linser,Gogreen,400 g,"18,83 kr",100 gram,337.0,1409.0,1.9,0.2,49.0,1.2,12.0,24.0,0.03,willys
7311043020225,101743733_ST,Gröna Linser Cannellinibönor Indian Style Soppa,Garant,450 g,"33,02 kr",100 gram,90.0,380.0,4.0,1.5,8.3,2.0,,3.8,0.8,willys
7350002403457,101082793_ST,Gröna Linser Ekologiska,Zeta,380/230 g,"13,15 kr",100 gram,93.0,391.0,1.0,0.5,12.0,0.5,5.2,6.4,0.3,willys
4051009043204,101806413_ST,Gröna Oliver Färskost,Kühlmann,150 g,"28,29 kr",100 gram,317.0,1305.0,32.0,5.3,4.1,0.6,,1.4,2.0,willys
7350005813246,101521265_ST,Gröna Oliver Grillade,Vefa,180 g,"33,02 kr",100 gram,168.9,696.9,16.68,3.09,3.64,0.15,,1.05,5.2,willys
7340083459276,101267875_ST,Gröna Oliver med Chili,Garant,260/155 g,"18,83 kr",100 gram,141.0,581.0,15.0,3.0,0.0,0.0,2.6,0.9,3.3,willys
7340083459283,101267876_ST,Gröna Oliver med Citron,Garant,260/155 g,"18,83 kr",100 gram,140.0,576.0,15.0,3.0,0.0,0.0,2.6,1.0,3.3,willys
8410159016586,100512394_ST,Gröna Oliver med Paprika,Figaro,340/200 g,"22,61 kr",100 gram,145.0,595.0,15.0,3.0,0.5,0.5,,1.0,3.7,willys
7311041052631,101006689_ST,Gröna Oliver med Pimiento,Eldorado,935/550 g,"29,90 kr",100 gram,130.0,550.0,14.0,3.0,0.0,0.0,2.1,0.7,3.8,willys
7340083459269,101267874_ST,Gröna Oliver med Pimiento,Garant,260/155 g,"18,83 kr",100 gram,141.0,581.0,15.0,3.0,0.0,0.0,2.2,0.9,3.5,willys
7340083459252,101267873_ST,Gröna Oliver med Vitlök,Garant,260/155 g,"18,83 kr",100 gram,142.0,584.0,15.2,3.0,0.1,0.1,2.2,1.1,3.5,willys
7331974101701,100109650_ST,Gröna Russin,Famous,450 g,"40,60 kr",,,,,,,,,,,
7330606069327,101234978_ST,Grönkål,Garant,200 g,"19,90 kr",,,,,,,,,,,
7340083452529,101259228_ST,Grönkål Grovhackad Fryst,Garant,450 g,"18,83 kr",100 gram,20.0,90.0,0.1,0.1,1.2,0.4,4.1,2.0,0.05,willys
