ean,article,name,brand,weight,price,basis,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
4002103266242,4002103266242,Alkoholfri öl Vete 0.4%,Erdinger,33 cl,"11,31 kr",100.0 Milliliter,25.0,107.0,0.5,0.1,5.3,3.6,,0.5,0.01,coop
7310401039732,7310401039732,Alkoholfri öl Wisby lager 0.5%,Gotlands Bryggeri,33 cl,"16,99 kr",100.0 Milliliter,30.0,110.0,0.5,0.5,5.4,0.5,,0.5,0.01,coop
7330586000228,7330586000228,Alkoholfritt Kullamust Äpple,Kullamust,630 ml,"28,35 kr",100.0 Gram,40.0,169.0,0.0,0.0,9.7,9.7,,0.25,0.0,coop
5998813159938,5998813159938,Alkoholfritt mousserade vin Rosé 0.5%,Chapel Hill,750 ml,"60,52 kr",100.0 Milliliter,32.0,136.0,0.5,0.1,7.5,7.5,,0.5,0.01,coop
7350076790729,7350076790729,Alkoholfritt mousserande vin,Richard Juhlin,75 cl,"91,80 kr",100.0 Milliliter,17.0,72.0,0.0,0.0,4.3,4.3,,0.0,0.1,coop
7350067732271,7350067732271,Alkoholfritt mousserande vin,Oddbird,750 ml,"88,96 kr",100.0 Milliliter,22.0,95.0,,,5.0,4.6,,,0.1,coop
4003310020054,4003310020054,Alkoholfritt mousserande vin,Mionetto,200 ml,"55,79 kr",100.0 Milliliter,11.0,48.0,0.5,0.1,2.6,2.0,,0.5,0.01,coop
7350067731113,7350067731113,Alkoholfritt mousserande vin,Oddbird,750 ml,"97,48 kr",100.0 Milliliter,18.0,77.0,,,4.5,4.1,,,0.1,coop
5998813159921,5998813159921,Alkoholfritt mousserande vin 0.5%,Chapel Hill,750 ml,"60,52 kr",100.0 Milliliter,32.0,136.0,0.5,0.1,7.5,7.5,,0.5,0.01,coop
5998815796704,5998815796704,Alkoholfritt mousserande vin 0.5%,Karl Fredrik,750 ml,"106,95 kr",100.0 Milliliter,32.0,136.0,0.5,0.1,7.5,7.5,,0.5,0.01,coop
7350005882310,7350005882310,Alkoholfritt mousserande vin El Mar,El Mar Sparkling Zero,375 ml,"53,47 kr",100.0 Milliliter,18.0,74.0,0.0,0.0,3.5,3.5,,0.0,0.02,coop
3663852010268,3663852010268,Alkoholfritt Mousserande vin Pazzione,Pazzione Zero,750 ml,"88,02 kr",100.0 Milliliter,18.0,74.0,0.0,0.0,3.5,3.5,,0.0,0.02,coop
7350076790910,7350076790910,Alkoholfritt mousserande vin Pinot Noir Rosé,Richard Juhlin,75 cl,"91,80 kr",100.0 Milliliter,24.0,101.0,0.5,0.01,5.6,5.0,,0.5,0.01,coop
5998815796711,5998815796711,Alkoholfritt mousserande vin Rosé 0.5%,Karl Fredrik,750 ml,"106,95 kr",100.0 Milliliter,32.0,136.0,0.5,0.1,7.5,7.5,,0.5,0.01,coop
4009427051646,4009427051646,Alkoholfritt rött vin Cabernet Sauvignon 0.5%,Carl Jung,75 cl,"59,15 kr",100.0 Milliliter,19.7,81.3,0.0,0.0,4.2,3.5,,0.0,0.1,coop
7350076792983,7350076792983,Alkoholfritt Rött Vin Richard Juhlin 0.5%,Richard Juhlin,37.5 cl,"58,63 kr",100.0 Milliliter,21.0,88.0,0.5,0.1,4.6,2.2,,1.0,0.1,coop
8006220003533,8006220003533,Alkoholfritt Vin Mionetto,Mionetto,750 ml,"97,48 kr",100.0 Milliliter,11.0,48.0,0.5,0.1,2.6,2.0,,0.5,0.01,coop
8410036809577,8410036809577,Alkoholfritt vin White blend,Freixenet,750 ml,"97,48 kr",100.0 Milliliter,15.0,65.0,0.5,0.1,3.6,3.0,,0.5,0.01,coop
4009427021779,4009427021779,Alkoholfritt vitt vin Chardonnay,Carl Jung,75 cl,"59,15 kr",100.0 Milliliter,20.0,84.0,0.0,0.0,4.4,4.0,,0.0,0.1,coop
7350076792976,7350076792976,Alkoholfritt Vitt vin Richard Juhlin 0.5%,Richard Juhlin,37.5 cl,"58,63 kr",100.0 Milliliter,13.0,53.0,0.0,0.0,2.5,2.5,,1.0,0.0,coop
8593868002832,8593868002832,Alkoholfritt öl Pilsner 0.5%,Staropramen,33 cl,"12,78 kr",100.0 Milliliter,12.0,50.0,0.1,0.1,2.2,1.2,,0.8,0.01,coop
8022836008441,8022836008441,Alkoholfrtt Mousserande vin Pizzolato 0.4%,Pizzolato sparkling,750 ml,"92,75 kr",100.0 Milliliter,14.3,59.8,0.0,0.0,3.0,3.0,,0.1,0.1,coop
3850104008443,3850104008443,Allkrydda,Podravka,500 gr,"46,33 kr",100.0 Gram,164.0,697.0,0.5,0.2,32.0,22.0,0.0,8.5,56.9,coop
3850104047589,3850104047589,Allkrydda Plåtburk,Podravka,250 gr,"23,61 kr",100.0 Gram,164.0,697.0,0.5,0.2,32.0,22.0,,8.5,56.9,coop
7311311016417,7311311016417,Allroundkrydda,Santa Maria,394 g,"55,36 kr",100.0 Gram,101.0,423.0,2.5,0.4,8.6,2.0,6.9,7.6,69.0,coop
7311311016240,7311311016240,Allroundkrydda,Santa Maria,120 g,"30,16 kr",100.0 Gram,101.0,423.0,2.5,0.4,8.6,2.0,6.9,7.6,69.0,coop
7310350121175,7310350121175,Almond Mix Salted,Nutisal,120 g,"35,49 kr",100.0 Gram,589.0,2460.0,51.0,4.0,11.0,4.8,11.0,21.0,1.4,coop
7340116879613,7340116879613,Aloe vera Cool piña,NÅBE,500 ml,"16,56 kr",100.0 Milliliter,33.0,136.0,0.0,0.0,8.0,7.5,,0.0,0.03,coop
7350021423894,7350021423894,Aloe Vera Jordgubb,ALOES,500 ml,"19,83 kr",100.0 Gram,29.0,121.0,0.0,0.0,7.2,7.1,0.0,0.0,0.07,coop
7340116870207,7340116870207,Aloe Vera Mango,NÅBE,500 ml,"16,56 kr",100.0 Milliliter,33.0,136.0,0.0,0.0,8.0,7.5,,0.0,0.06,coop
7340116870009,7340116870009,Aloe Vera Original,NÅBE,500 ml,"16,56 kr",100.0 Milliliter,33.0,136.0,0.0,0.0,8.0,7.5,,0.0,0.02,coop
7350021423917,7350021423917,Aloe Vera Original,ALOES,500 ml,"19,83 kr",100.0 Gram,36.0,151.0,0.0,0.0,9.0,9.0,0.0,0.0,0.05,coop
7350021420237,7350021420237,Aloe Vera Original,ALOES,1500 ml,"37,81 kr",100.0 Gram,36.0,151.0,0.0,0.0,9.0,9.0,0.0,0.0,0.05,coop
7340116879453,7340116879453,Aloe vera Sweet lemon,NÅBE,500 ml,"16,56 kr",100.0 Milliliter,33.0,136.0,0.0,0.0,8.0,7.5,,0.0,0.02,coop
8714801411478,8714801411478,Amerikanska Pannkakor 6-pack,Pop Bakery,6 st,"29,29 kr",100.0 Gram,295.0,1235.0,13.7,2.6,36.0,14.0,1.0,6.8,0.94,coop
7300170040299,7300170040299,Ananas,,1100 gram ungefärlig vikt,"29,29 kr",,,,,,,,,,,
7340011429203,7340011429203,Ananas Bitar,Coop,250 G,"21,72 kr",100.0 Gram,59.0,249.0,0.0,0.0,13.0,3.0,1.4,1.0,0.0,coop
